Tipo,Modelo,Consumo
Coche,Acura 3.5RL,9.5
Coche,Audi A6 Quattro,9.1
Coche,BMW 740i,9.9
Coche,Buick Century,8.2
Coche,Cadillac Catera,9.9
Coche,Cadillac Seville,9.1
Coche,Chevrolet Lumina,8.2
Coche,Chevrolet Malibu,7.4
Coche,Chrysler Cirrus,7.9
Coche,Ford Taurus,8.4
Coche,Honda Accord,8.2
Coche,Hyundai Sonata,8.8
Coche,Infiniti I30,8.4
Coche,Infinity Q45,10.3
Coche,Jaguar XJ8L,9.9
Coche,Lexus GS300,9.5
Coche,Lexus LS400,9.5
Coche,Lincoln Mark VIII,9.1
Coche,Mazda 626,8.2
Coche,Mercedes-Benz E320,8.2
Coche,Mitsubishi Diamante,9.9
Coche,Nissan Maxima,8.4
Coche,Oldmobile Aurora,9.1
Coche,Oldmobile Intrigue,7.9
Coche,Plymouth Breeze,7.2
Coche,Saab 900S,9.5
Coche,Toyota Camry,7.9
Coche,Volvo S70,9.5
Furgoneta,Chevrolet C1500,11.8
Furgoneta,Dodge Dakota,9.5
Furgoneta,Dodge Ram,11.8
Furgoneta,Ford F150,11.3
Furgoneta,Ford Ranger,8.8
Furgoneta,Mazda B2000,9.5
Furgoneta,Nissan Frontier,9.9
Furgoneta,Toyota T100,10.3
Todoterreno,Acura SLX,12.5
Todoterreno,Chevrolet Blazer,11.8
Todoterreno,Chevrolet Tahoe,12.5
Todoterreno,Chrysler Town & Country,10.3
Todoterreno,Dodge Durango,13.9
Todoterreno,Ford Expedition,13.1
Todoterreno,Ford Exlorer,12.5
Todoterreno,Geo Tracker,9.1
Todoterreno,GMC Jimmy,11.3
Todoterreno,Infiniti QX4,12.5
Todoterreno,Isuzu Rodeo,11.8
Todoterreno,Isuzu Trooper,12.5
Todoterreno,Jeep Grand Cherokee,11.3
Todoterreno,Jeep Wrangler,12.5
Todoterreno,Kia Sportage,10.3
Todoterreno,Land Rover Discovery,13.9
Todoterreno,Lincoln Navigator,14.8
Todoterreno,Mazda MPV,12.5
Todoterreno,Mercedez ML320,11.3
Todoterreno,Mitsubishi Montero,11.8
Todoterreno,Nissan Pathfinder,12.5
Todoterreno,Range Rover,13.9
Todoterreno,Suburu Forester,8.8
Todoterreno,Suzuki Sidekick,9.9
Todoterreno,Toyota RAV4,9.1
Todoterreno,Toyota 4Runner,10.8
