,carat,cut,color,clarity,depth,table,price,x,y,z,CutBin
1,0.23,Ideal,E,SI2,61.5,55,326,3.95,3.98,2.43,A
2,0.21,Premium,E,SI1,59.8,61,326,3.89,3.84,2.31,B
3,0.23,Good,E,VS1,56.9,65,327,4.05,4.07,2.31,A
4,0.29,Premium,I,VS2,62.4,58,334,4.2,4.23,2.63,B
5,0.31,Good,J,SI2,63.3,58,335,4.34,4.35,2.75,A
6,0.24,Very Good,J,VVS2,62.8,57,336,3.94,3.96,2.48,B
7,0.24,Very Good,I,VVS1,62.3,57,336,3.95,3.98,2.47,B
8,0.26,Very Good,H,SI1,61.9,55,337,4.07,4.11,2.53,B
9,0.22,Fair,E,VS2,65.1,61,337,3.87,3.78,2.49,A
10,0.23,Very Good,H,VS1,59.4,61,338,4,4.05,2.39,B
11,0.3,Good,J,SI1,64,55,339,4.25,4.28,2.73,A
12,0.23,Ideal,J,VS1,62.8,56,340,3.93,3.9,2.46,A
13,0.22,Premium,F,SI1,60.4,61,342,3.88,3.84,2.33,B
14,0.31,Ideal,J,SI2,62.2,54,344,4.35,4.37,2.71,A
15,0.2,Premium,E,SI2,60.2,62,345,3.79,3.75,2.27,B
16,0.32,Premium,E,I1,60.9,58,345,4.38,4.42,2.68,B
17,0.3,Ideal,I,SI2,62,54,348,4.31,4.34,2.68,A
18,0.3,Good,J,SI1,63.4,54,351,4.23,4.29,2.7,A
19,0.3,Good,J,SI1,63.8,56,351,4.23,4.26,2.71,A
20,0.3,Very Good,J,SI1,62.7,59,351,4.21,4.27,2.66,B
21,0.3,Good,I,SI2,63.3,56,351,4.26,4.3,2.71,A
22,0.23,Very Good,E,VS2,63.8,55,352,3.85,3.92,2.48,B
23,0.23,Very Good,H,VS1,61,57,353,3.94,3.96,2.41,B
24,0.31,Very Good,J,SI1,59.4,62,353,4.39,4.43,2.62,B
25,0.31,Very Good,J,SI1,58.1,62,353,4.44,4.47,2.59,B
26,0.23,Very Good,G,VVS2,60.4,58,354,3.97,4.01,2.41,B
27,0.24,Premium,I,VS1,62.5,57,355,3.97,3.94,2.47,B
28,0.3,Very Good,J,VS2,62.2,57,357,4.28,4.3,2.67,B
29,0.23,Very Good,D,VS2,60.5,61,357,3.96,3.97,2.4,B
30,0.23,Very Good,F,VS1,60.9,57,357,3.96,3.99,2.42,B
31,0.23,Very Good,F,VS1,60,57,402,4,4.03,2.41,B
32,0.23,Very Good,F,VS1,59.8,57,402,4.04,4.06,2.42,B
33,0.23,Very Good,E,VS1,60.7,59,402,3.97,4.01,2.42,B
34,0.23,Very Good,E,VS1,59.5,58,402,4.01,4.06,2.4,B
35,0.23,Very Good,D,VS1,61.9,58,402,3.92,3.96,2.44,B
36,0.23,Good,F,VS1,58.2,59,402,4.06,4.08,2.37,A
37,0.23,Good,E,VS1,64.1,59,402,3.83,3.85,2.46,A
38,0.31,Good,H,SI1,64,54,402,4.29,4.31,2.75,A
39,0.26,Very Good,D,VS2,60.8,59,403,4.13,4.16,2.52,B
40,0.33,Ideal,I,SI2,61.8,55,403,4.49,4.51,2.78,A
41,0.33,Ideal,I,SI2,61.2,56,403,4.49,4.5,2.75,A
42,0.33,Ideal,J,SI1,61.1,56,403,4.49,4.55,2.76,A
43,0.26,Good,D,VS2,65.2,56,403,3.99,4.02,2.61,A
44,0.26,Good,D,VS1,58.4,63,403,4.19,4.24,2.46,A
45,0.32,Good,H,SI2,63.1,56,403,4.34,4.37,2.75,A
46,0.29,Premium,F,SI1,62.4,58,403,4.24,4.26,2.65,B
47,0.32,Very Good,H,SI2,61.8,55,403,4.35,4.42,2.71,B
48,0.32,Good,H,SI2,63.8,56,403,4.36,4.38,2.79,A
49,0.25,Very Good,E,VS2,63.3,60,404,4,4.03,2.54,B
50,0.29,Very Good,H,SI2,60.7,60,404,4.33,4.37,2.64,B
51,0.24,Very Good,F,SI1,60.9,61,404,4.02,4.03,2.45,B
52,0.23,Ideal,G,VS1,61.9,54,404,3.93,3.95,2.44,A
53,0.32,Ideal,I,SI1,60.9,55,404,4.45,4.48,2.72,A
54,0.22,Premium,E,VS2,61.6,58,404,3.93,3.89,2.41,B
55,0.22,Premium,D,VS2,59.3,62,404,3.91,3.88,2.31,B
56,0.3,Ideal,I,SI2,61,59,405,4.3,4.33,2.63,A
57,0.3,Premium,J,SI2,59.3,61,405,4.43,4.38,2.61,B
58,0.3,Very Good,I,SI1,62.6,57,405,4.25,4.28,2.67,B
59,0.3,Very Good,I,SI1,63,57,405,4.28,4.32,2.71,B
60,0.3,Good,I,SI1,63.2,55,405,4.25,4.29,2.7,A
61,0.35,Ideal,I,VS1,60.9,57,552,4.54,4.59,2.78,A
62,0.3,Premium,D,SI1,62.6,59,552,4.23,4.27,2.66,B
63,0.3,Ideal,D,SI1,62.5,57,552,4.29,4.32,2.69,A
64,0.3,Ideal,D,SI1,62.1,56,552,4.3,4.33,2.68,A
65,0.42,Premium,I,SI2,61.5,59,552,4.78,4.84,2.96,B
66,0.28,Ideal,G,VVS2,61.4,56,553,4.19,4.22,2.58,A
67,0.32,Ideal,I,VVS1,62,55.3,553,4.39,4.42,2.73,A
68,0.31,Very Good,G,SI1,63.3,57,553,4.33,4.3,2.73,B
69,0.31,Premium,G,SI1,61.8,58,553,4.35,4.32,2.68,B
70,0.24,Premium,E,VVS1,60.7,58,553,4.01,4.03,2.44,B
71,0.24,Very Good,D,VVS1,61.5,60,553,3.97,4,2.45,B
72,0.3,Very Good,H,SI1,63.1,56,554,4.29,4.27,2.7,B
73,0.3,Premium,H,SI1,62.9,59,554,4.28,4.24,2.68,B
74,0.3,Premium,H,SI1,62.5,57,554,4.29,4.25,2.67,B
75,0.3,Good,H,SI1,63.7,57,554,4.28,4.26,2.72,A
76,0.26,Very Good,F,VVS2,59.2,60,554,4.19,4.22,2.49,B
77,0.26,Very Good,E,VVS2,59.9,58,554,4.15,4.23,2.51,B
78,0.26,Very Good,D,VVS2,62.4,54,554,4.08,4.13,2.56,B
79,0.26,Very Good,D,VVS2,62.8,60,554,4.01,4.05,2.53,B
80,0.26,Very Good,E,VVS1,62.6,59,554,4.06,4.09,2.55,B
81,0.26,Very Good,E,VVS1,63.4,59,554,4,4.04,2.55,B
82,0.26,Very Good,D,VVS1,62.1,60,554,4.03,4.12,2.53,B
83,0.26,Ideal,E,VVS2,62.9,58,554,4.02,4.06,2.54,A
84,0.38,Ideal,I,SI2,61.6,56,554,4.65,4.67,2.87,A
85,0.26,Good,E,VVS1,57.9,60,554,4.22,4.25,2.45,A
86,0.24,Premium,G,VVS1,62.3,59,554,3.95,3.92,2.45,B
87,0.24,Premium,H,VVS1,61.2,58,554,4.01,3.96,2.44,B
88,0.24,Premium,H,VVS1,60.8,59,554,4.02,4,2.44,B
89,0.24,Premium,H,VVS2,60.7,58,554,4.07,4.04,2.46,B
90,0.32,Premium,I,SI1,62.9,58,554,4.35,4.33,2.73,B
91,0.7,Ideal,E,SI1,62.5,57,2757,5.7,5.72,3.57,A
92,0.86,Fair,E,SI2,55.1,69,2757,6.45,6.33,3.52,A
93,0.7,Ideal,G,VS2,61.6,56,2757,5.7,5.67,3.5,A
94,0.71,Very Good,E,VS2,62.4,57,2759,5.68,5.73,3.56,B
95,0.78,Very Good,G,SI2,63.8,56,2759,5.81,5.85,3.72,B
96,0.7,Good,E,VS2,57.5,58,2759,5.85,5.9,3.38,A
97,0.7,Good,F,VS1,59.4,62,2759,5.71,5.76,3.4,A
98,0.96,Fair,F,SI2,66.3,62,2759,6.27,5.95,4.07,A
99,0.73,Very Good,E,SI1,61.6,59,2760,5.77,5.78,3.56,B
100,0.8,Premium,H,SI1,61.5,58,2760,5.97,5.93,3.66,B
101,0.75,Very Good,D,SI1,63.2,56,2760,5.8,5.75,3.65,B
102,0.75,Premium,E,SI1,59.9,54,2760,6,5.96,3.58,B
103,0.74,Ideal,G,SI1,61.6,55,2760,5.8,5.85,3.59,A
104,0.75,Premium,G,VS2,61.7,58,2760,5.85,5.79,3.59,B
105,0.8,Ideal,I,VS1,62.9,56,2760,5.94,5.87,3.72,A
106,0.75,Ideal,G,SI1,62.2,55,2760,5.87,5.8,3.63,A
107,0.8,Premium,G,SI1,63,59,2760,5.9,5.81,3.69,B
108,0.74,Ideal,I,VVS2,62.3,55,2761,5.77,5.81,3.61,A
109,0.81,Ideal,F,SI2,58.8,57,2761,6.14,6.11,3.6,A
110,0.59,Ideal,E,VVS2,62,55,2761,5.38,5.43,3.35,A
111,0.8,Ideal,F,SI2,61.4,57,2761,5.96,6,3.67,A
112,0.74,Ideal,E,SI2,62.2,56,2761,5.8,5.84,3.62,A
113,0.9,Premium,I,VS2,63,58,2761,6.16,6.12,3.87,B
114,0.74,Very Good,G,SI1,62.2,59,2762,5.73,5.82,3.59,B
115,0.73,Ideal,F,VS2,62.6,56,2762,5.77,5.74,3.6,A
116,0.73,Ideal,F,VS2,62.7,53,2762,5.8,5.75,3.62,A
