idloc,edadloc,correo,paginas,telefono,impresa,servicio,nomina,idmercado,tamamer,promo,ropamujer
1648,11,10042,68,35,22609.49,30,66307,8,Grande,2,43747.6922743182
1259,3,11909,107,42,24561.99,35,29107,8,Grande,2,37483.689991349
674,13,10669,75,33,38914.22,52,9519,4,Median,3,57522.9954834981
1558,7,6981,65,19,39204.97,30,28651,7,Grande,1,50338.0620837883
1626,22,10940,74,37,23947.08,46,30654,7,Grande,2,45675.5500541883
939,8,12689,110,55,29968.16,57,30528,7,Median,1,78428.0623232108
176,22,9773,73,34,26040.25,50,27890,8,Median,3,47451.4364310536
782,8,13018,106,45,35846.89,41,11107,3,Median,1,72545.4582932104
163,4,9546,84,39,24781.46,25,111305,7,Grande,2,18438.4810818628
1703,4,13050,112,46,21722.77,39,34739,9,Grande,1,49626.1921477965
358,2,10551,72,38,37280.7,42,11564,9,Pequeño,2,34472.0017672287
640,23,14936,93,43,26930.3,56,32521,5,Grande,1,66404.9658967184
1449,2,10615,92,33,19735.32,42,44189,1,Grande,1,18610.2316898323
236,19,14121,112,53,21951.24,45,17198,2,Median,2,56006.8812228907
1423,20,13380,98,54,22512.58,63,3412,5,Pequeño,2,58137.5273422954
1083,20,11557,113,59,38773.63,46,16717,1,Median,1,60358.4254157117
179,21,10627,67,40,20434.39,53,19472,9,Pequeño,2,54944.5001036004
1929,3,9804,79,29,39731.11,31,21104,8,Median,3,44467.5660360277
231,22,11137,109,38,33768.12,62,56935,5,Grande,1,90571.5898386145
1313,5,13705,91,54,37186.98,34,26360,7,Grande,2,58551.4799478674
63,2,10942,51,47,27131.9,43,22341,5,Grande,3,43726.64
110,11,8216,70,26,24515.26,27,21242,2,Grande,3,20789.67
748,24,9917,99,35,33650.78,55,7470,2,Median,3,55043.2352239904
1414,2,12600,106,55,39450.74,39,16619,1,Grande,2,73412.9181188694
1597,18,3040,52,22,32753.89,54,58281,4,Grande,1,35616.4695871228
561,5,13395,95,59,18752.12,36,13082,2,Pequeño,2,43600.1965346215
1785,9,10942,72,31,37266.94,57,24454,7,Median,2,81422.9657709145
915,1,10142,73,28,39048.79,18,19207,2,Median,3,42077.6406353985
1044,25,9581,51,29,34653.85,59,89553,2,Grande,1,62645.3957526409
1557,2,5115,57,21,22110.54,28,27754,5,Median,2,1289.24069403596
1695,15,13434,103,51,29256.5,54,29085,8,Grande,2,61756.5063124284
1790,24,14611,99,55,18387.13,67,44196,4,Grande,1,64350.542217309
1787,22,12533,89,58,38616.25,51,34484,4,Median,1,66628.0212522085
920,14,9861,86,29,34599.52,57,5329,7,Pequeño,2,75190.8823469722
1979,19,10226,84,39,37891.64,67,12247,5,Median,2,50960.7505540105
276,17,14512,101,43,21799.46,57,37620,5,Grande,2,49103.7954541636
629,14,10127,73,40,27183.66,59,12511,7,Pequeño,3,65583.8016907355
1843,4,10394,108,39,25381.61,35,27922,1,Grande,1,37696.8239185471
265,5,6539,70,21,18946.18,50,36224,2,Median,3,40025.2929074452
197,16,10440,97,36,21395.96,67,9343,4,Pequeño,2,59614.2859985372
212,9,11919,98,57,31459.31,49,16494,5,Median,3,74223.7783589727
390,15,11680,107,42,36188.75,68,18503,7,Median,2,69051.1838715193
41,13,9914,58,28,27746.94,37,15185,3,Median,2,24400.76
173,11,12067,102,52,32813.45,37,11476,9,Median,3,61514.2363110783
637,11,9153,84,30,29053.57,46,49748,6,Grande,2,69682.2180555525
1498,16,9901,82,36,33359.25,47,56168,4,Grande,1,33097.3375457791
773,16,9493,86,28,36327.12,52,35043,4,Median,2,44274.1121357501
1125,22,13121,105,55,25542.76,43,6291,3,Pequeño,2,61101.4493143894
1182,7,10281,88,32,19443.41,30,3089,4,Median,1,42591.7306000195
657,4,9732,74,35,22177.52,29,34126,2,Grande,1,33486.0002721659
1205,1,11176,80,33,29282.93,40,14642,7,Pequeño,3,52645.7580358888
1022,8,9907,72,31,31564.09,36,8164,3,Pequeño,3,56388.2430279151
1024,22,9772,52,40,20795.95,47,32212,1,Median,2,25843.2666392613
738,20,9166,82,39,35673.32,47,8754,3,Pequeño,2,65683.5812783754
1244,4,9677,80,28,23748.7,29,55823,2,Grande,1,23678.7562086872
1448,22,12791,105,52,33157.45,62,6160,1,Pequeño,2,82018.1178351259
779,3,10340,86,37,36465.82,35,4750,9,Pequeño,2,39892.2712555057
1075,1,14715,113,46,36979.37,40,45951,9,Grande,1,71416.1600356783
1871,9,10117,77,35,25097.21,29,45683,5,Grande,1,40597.2130482598
1705,10,10070,76,35,38668.71,42,12262,3,Pequeño,2,62821.6582343707
1941,4,9932,72,29,19792.88,30,23377,4,Median,1,18974.9175896484
1198,21,10234,75,38,26740.78,53,32164,6,Median,2,61371.1624870079
1824,4,10315,73,29,18468.67,31,14149,9,Median,1,51979.9452699648
1296,3,5848,70,27,34428.58,28,13164,1,Median,3,20092.6119793303
990,9,9164,74,38,23727.97,30,20446,4,Median,3,47886.371961421
1749,5,9561,77,35,21242.1,39,39203,3,Grande,2,30712.215392177
4,10,8685,74,17,22642.27,21,27648,1,Grande,1,28701.58
909,9,10028,82,35,26454.68,30,61846,2,Grande,1,40082.7754128247
1068,1,11452,102,54,28200.26,22,7541,3,Pequeño,3,39089.1410930637
1627,21,9104,76,30,28828.12,61,49991,5,Grande,1,55104.5196854863
957,2,14824,89,47,21314.94,19,44356,1,Grande,1,31710.8360357908
1769,3,9486,75,28,25838.59,27,17739,7,Median,3,38003.7984556256
1012,4,11212,108,42,32386.4,44,48753,9,Grande,1,49416.1542858107
395,18,9829,77,35,22593.01,44,901,8,Pequeño,2,40727.3960005483
463,16,9812,80,29,35110.57,62,24498,4,Grande,2,81963.6715161631
693,9,10667,88,32,26531.8,42,20048,4,Grande,1,60628.0635936129
1140,6,3351,69,22,33922.65,58,29776,4,Median,1,49486.6332025478
1589,2,11119,95,28,27128.23,31,14148,1,Median,1,36961.4459641525
612,2,10725,79,38,20702.94,27,18295,6,Median,2,30767.0893337397
1064,24,10965,87,38,27758.71,56,9833,5,Pequeño,3,46559.5429026746
267,13,9207,88,33,23845.91,67,15424,2,Median,3,72382.8112602618
857,3,10513,85,29,19595.14,41,43459,7,Median,2,33102.2795028188
1226,25,12947,97,43,19163.57,67,9338,3,Pequeño,2,53748.0335646934
1613,15,12557,92,50,31685.46,57,6309,1,Pequeño,3,76179.7052962853
616,22,12054,106,58,35811.28,55,15693,2,Pequeño,3,86867.276471348
513,14,9839,82,30,27945.88,66,17042,7,Median,3,64577.1129724057
1847,2,11650,102,58,24027.36,16,8984,3,Pequeño,3,43084.5245509322
999,12,1521,62,20,20069.56,45,38425,4,Median,3,21181.0274060001
344,4,11315,90,57,38238.39,57,26384,2,Median,1,54021.0574314166
1629,18,14164,90,53,28201.4,44,8967,8,Pequeño,2,66553.2011319652
230,23,9491,79,33,24745.29,56,3292,2,Pequeño,2,55206.8955383799
880,12,10260,112,39,36975.79,50,24195,3,Median,2,78725.5994919073
919,18,9192,77,33,31914.96,61,23816,8,Grande,1,71122.6470357652
316,25,13535,109,58,18589.64,66,7040,8,Pequeño,3,63294.1396680497
547,21,6455,62,20,31930.9,49,14481,9,Median,2,41929.1661640377
861,12,9979,75,38,22560.95,67,48982,1,Grande,1,73572.4043295443
1467,3,11992,101,49,29353.81,35,45018,1,Grande,2,52683.4298382096
1167,3,11428,103,58,35365.55,30,61259,6,Grande,1,30258.6394899346
943,12,15235,113,52,26277.94,53,10281,6,Pequeño,2,91473.2190594966
1331,12,14496,93,50,29922.92,55,6444,7,Pequeño,2,66654.6060458854
1874,3,14797,94,49,32084.97,28,60444,1,Grande,1,43862.1090227761
451,15,9188,87,34,21124.31,61,22172,8,Median,3,56862.6534824258
662,3,5677,63,18,26110.97,34,6374,2,Pequeño,3,31003.8502208757
1663,4,5719,66,26,29240.98,37,10761,2,Median,2,22670.0750537212
1202,4,10555,87,32,35654.66,46,23422,3,Median,2,66739.9165254868
804,5,9154,62,36,19557.67,67,35809,8,Grande,1,57334.983907314
1404,24,11455,101,49,29993.22,51,53690,3,Grande,1,44326.3382319139
997,10,12062,105,54,18720.11,40,17578,5,Grande,1,57313.0701004006
1011,2,9569,54,38,32770.11,18,8038,4,Pequeño,2,14735.7500785057
35,10,9516,70,28,28836.56,35,14337,3,Median,2,38882.75
261,5,10342,78,39,37049.93,28,13643,5,Median,2,49746.1244416424
220,18,10583,87,28,21964.3,58,24443,1,Grande,1,48461.7947245278
979,8,1552,59,23,37648.94,55,4445,1,Pequeño,2,44524.1612360569
1114,19,9570,84,35,38922.2,47,17097,8,Grande,2,46121.3807461605
